Name;Total
Algeria;1318
Angola;748
Argentina;3332
Australia;8849
Brazil;10638
Canada;2311
Chile;1773
China;2909
Colombia;8155
Ecuador;5460
Egypt;520
Ethiopia;1904
Fiji;771
France;2925
Germany;1352
Ghana;2736
India;7358
Indonesia;4104
Iran, Islamic Republic of;559
Israel;2322
Italy;2567
Japan;5491
Kenya;4684
Korea, Republic of;1872
Mexico;6984
Morocco;1984
Netherlands;955
New Zealand;1664
Nigeria;3180
Peru;5955
Poland;966
Puerto Rico;1772
Russian Federation;2552
Saudi Arabia;2357
South Africa;5973
Spain;3588
Sweden;888
Switzerland;1127
Tanzania, United Republic of;5824
Thailand;5785
Turkey;1969
United Kingdom;1287
United States;8234
