ID;ID;Gender;Sport;Continent;Country;Club;Team logo;Team nickname;Trophic;Classification_Specific;Classification_General;Classification_Class;Classification_Order;Classification_Family;Classification_Genus;Classification_Species;Stadium;Location;Lat;Long;Capacity;N_Species_In_Country;EX;EW;CR;EN;VU;NT;LC;DD;NE;Decreasing;Increasing;Stable;Unknown
ID_1;1;Men;Football;Asia;Turkey;Çaykur Rizespor;NA;Black Sea Sparrowhawk;Raptor;Accipiter melanoleucus;Species;Aves;Accipitriformes;Accipitridae;Accipiter;Accipiter melanoleucus;Çaykur Didi;41.042102943044796, 40.574402995371386;41.042102943044796; 40.574402995371386;15332;0;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA
ID_2;2;Men;Football;Africa;Algeria;ES Sétif;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stade 8 Mai 1945;36.1871037334936, 5.393679263166787;36.1871037334936; 5.393679263166787;25000;21;NA;NA;1;2;2;2;14;NA;NA;9;3;8;1
ID_3;3;Men;Football;Africa;Algeria;JS Saoura;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;20 August 1955 Stadium;31.606515544689127, -2.2155183604736;31.606515544689127; -2.2155183604736;21000;21;NA;NA;1;2;2;2;14;NA;NA;9;3;8;1
ID_4;4;Men;Football;Africa;Algeria;CS Constantine;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stade Mohamed Hamlaoui;36.348865991271815, 6.626159649919597;36.348865991271815; 6.626159649919597;40000;21;NA;NA;1;2;2;2;14;NA;NA;9;3;8;1
ID_5;5;Men;Volleyball;Americas;Argentina;Ciudad Voley;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Club Ciudad de Buenos Aires;-34.54239923164088, -58.45934388955429;-34.54239923164088; -58.45934388955429;1500;39;NA;NA;NA;2;2;5;30;NA;NA;23;6;8;2
ID_6;6;Men;Football;Americas;Argentina;Defensa y Justicia;NA;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Norberto Tomaghello Stadium;-34.821433980625514, -58.28533974854089;-34.821433980625514; -58.28533974854089;20000;39;NA;NA;NA;2;2;5;30;NA;NA;23;6;8;2
ID_7;7;Men;Basketball;Oceania;Australia;Adelaide 36ers;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Adelaide Entertainment Centre;-34.90775661351462, 138.5741544496153;-34.90775661351462; 138.5741544496153;11300;16;NA;NA;NA;1;NA;1;14;NA;NA;9;1;6;NA
ID_8;8;Men;Basketball;Oceania;Australia;Illawarra Hawks;Hawk;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;WIN Entertainment Centre;-34.42633427868534, 150.90297150911255;-34.42633427868534; 150.90297150911255;13000;16;NA;NA;NA;1;NA;1;14;NA;NA;9;1;6;NA
ID_9;9;Men;Rugby XIII;Oceania;Australia;Manly Warringah Sea Eagles;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Brookvale Oval;-33.75983506595735, 151.27398221438983;-33.75983506595735; 151.27398221438983;18000;16;NA;NA;NA;1;NA;1;14;NA;NA;9;1;6;NA
ID_11;11;Men;Basketball;Americas;Canada;Calgary Surge;Hawk;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Winsport Arena;51.08500232466966, -114.22118143419193;51.08500232466966; -114.22118143419193;3000;14;NA;NA;NA;NA;NA;NA;14;NA;NA;1;9;3;1
ID_12;12;Men;Football;Americas;Chile;Unión Española;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Santa Laura;-33.404241386928796, -70.65796112476285;-33.404241386928796; -70.65796112476285;19887;9;NA;NA;NA;NA;1;NA;8;NA;NA;4;1;3;1
ID_13;13;Men;Football;Americas;Chile;Audax Italiano;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Bicentenario de La Florida;-33.54049838239144, -70.57730611311266;-33.54049838239144; -70.57730611311266;12000;9;NA;NA;NA;NA;1;NA;8;NA;NA;4;1;3;1
