"","Gender","Continent","Country","Sport","TotTeams","AnimTeams","Percent","naf_all","naf_wild","AnimTeamsWild","Percent2"
"1","Men","Africa","Nigeria","Football",20,5,25,5,5,5,25
"2","Men","Africa","Egypt","Football",18,4,22.2222222222222,2,2,4,22.2222222222222
"3","Men","Africa","South Africa","Football",16,3,18.75,3,3,3,18.75
"4","Men","Africa","Algeria","Football",16,7,43.75,3,2,6,37.5
"5","Men","Africa","Morocco","Football",16,5,31.25,5,4,5,31.25
"6","Men","Africa","Angola","Football",16,1,6.25,1,1,1,6.25
"7","Men","Africa","Kenya","Football",18,9,50,5,5,9,50
"8","Men","Africa","Ethiopia","Football",16,3,18.75,4,4,3,18.75
"9","Men","Africa","Tanzania, United Republic of","Football",16,3,18.75,3,1,1,6.25
"10","Men","Africa","Ghana","Football",18,7,38.8888888888889,5,4,6,33.3333333333333
"11","Men","Americas","United States","Football",29,9,31.0344827586207,7,6,7,24.1379310344828
"13","Men","Americas","Brazil","Football",20,9,45,8,5,6,30
"14","Men","Americas","Mexico","Football",18,11,61.1111111111111,11,7,8,44.4444444444444
"15","Men","Americas","Argentina","Football",28,8,28.5714285714286,8,7,7,25
"16","Men","Americas","Colombia","Football",20,7,35,7,7,6,30
"17","Men","Americas","Chile","Football",16,4,25,3,3,4,25
"18","Men","Americas","Peru","Football",19,7,36.8421052631579,6,5,6,31.5789473684211
"19","Men","Americas","Puerto Rico","Football",14,1,7.14285714285714,1,1,1,7.14285714285714
"20","Men","Americas","Ecuador","Football",16,5,31.25,3,2,4,25
"21","Men","Asia","China","Football",18,9,50,5,4,8,44.4444444444444
"22","Men","Asia","Japan","Football",18,8,44.4444444444444,8,7,7,38.8888888888889
"23","Men","Asia","India","Football",12,2,16.6666666666667,2,2,2,16.6666666666667
"24","Men","Asia","Iran, Islamic Republic of","Football",16,10,62.5,9,6,7,43.75
"25","Men","Asia","Korea, Republic of","Football",12,3,25,3,3,3,25
"26","Men","Asia","Indonesia","Football",18,11,61.1111111111111,8,6,9,50
"27","Men","Asia","Saudi Arabia","Football",16,4,25,4,3,3,18.75
"28","Men","Asia","Turkey","Football",19,9,47.3684210526316,9,7,7,36.8421052631579
"29","Men","Asia","Thailand","Football",16,10,62.5,9,7,8,50
"30","Men","Asia","Israel","Football",14,6,42.8571428571429,5,3,4,28.5714285714286
"31","Men","Europe","Germany","Football",18,7,38.8888888888889,7,4,4,22.2222222222222
"32","Men","Europe","United Kingdom","Football",20,13,65,14,12,11,55
"33","Men","Europe","France","Football",20,7,35,7,5,5,25
"34","Men","Europe","Russian Federation","Football",16,7,43.75,7,5,5,31.25
"35","Men","Europe","Italy","Football",20,11,55,8,5,7,35
"36","Men","Europe","Spain","Football",20,5,25,4,4,5,25
"37","Men","Europe","Netherlands","Football",18,6,33.3333333333333,4,3,5,27.7777777777778
"38","Men","Europe","Switzerland","Football",10,3,30,2,2,3,30
"39","Men","Europe","Poland","Football",18,7,38.8888888888889,5,5,7,38.8888888888889
"40","Men","Europe","Sweden","Football",16,3,18.75,3,2,2,12.5
"41","Men","Oceania","Australia","Football",12,3,25,4,2,2,16.6666666666667
"42","Men","Oceania","New Zealand","Football",10,2,20,2,2,1,10
"46","Men","Oceania","French Polynesia","Football",12,0,0,0,0,0,0
"47","Men","Oceania","Fiji","Football",10,4,40,4,3,3,30
"51","Men","Africa","Nigeria","Basketball",16,2,12.5,2,1,1,6.25
"52","Men","Africa","Egypt","Basketball",16,1,6.25,1,1,1,6.25
"53","Men","Africa","South Africa","Basketball",11,5,45.4545454545455,5,5,5,45.4545454545455
"55","Men","Africa","Morocco","Basketball",16,2,12.5,2,2,2,12.5
"61","Men","Americas","United States","Basketball",30,9,30,8,6,6,20
"62","Men","Americas","Canada","Basketball",10,9,90,9,9,10,100
"63","Men","Americas","Brazil","Basketball",17,4,23.5294117647059,4,4,4,23.5294117647059
"64","Men","Americas","Mexico","Basketball",12,4,33.3333333333333,3,3,4,33.3333333333333
"65","Men","Americas","Argentina","Basketball",20,2,10,2,2,2,10
"66","Men","Americas","Colombia","Basketball",7,3,42.8571428571429,3,3,3,42.8571428571429
"67","Men","Americas","Chile","Basketball",12,2,16.6666666666667,2,2,2,16.6666666666667
"69","Men","Americas","Puerto Rico","Basketball",12,2,16.6666666666667,2,2,2,16.6666666666667
"70","Men","Americas","Ecuador","Basketball",8,1,12.5,1,1,1,12.5
"71","Men","Asia","China","Basketball",20,14,70,10,9,13,65
"72","Men","Asia","Japan","Basketball",24,4,16.6666666666667,4,4,4,16.6666666666667
"74","Men","Asia","Iran, Islamic Republic of","Basketball",16,2,12.5,1,0,0,0
"75","Men","Asia","Korea, Republic of","Basketball",10,2,20,2,2,2,20
"76","Men","Asia","Indonesia","Basketball",16,2,12.5,2,2,2,12.5
"77","Men","Asia","Saudi Arabia","Basketball",12,0,0,0,0,0,0
"78","Men","Asia","Turkey","Basketball",16,5,31.25,5,5,5,31.25
"79","Men","Asia","Thailand","Basketball",10,3,30,3,2,2,20
"80","Men","Asia","Israel","Basketball",12,2,16.6666666666667,2,2,2,16.6666666666667
"81","Men","Europe","Germany","Basketball",18,4,22.2222222222222,4,4,4,22.2222222222222
"82","Men","Europe","United Kingdom","Basketball",10,4,40,4,3,3,30
"83","Men","Europe","France","Basketball",18,4,22.2222222222222,4,4,4,22.2222222222222
"84","Men","Europe","Russian Federation","Basketball",12,1,8.33333333333333,1,0,0,0
"85","Men","Europe","Italy","Basketball",16,7,43.75,3,2,6,37.5
"86","Men","Europe","Spain","Basketball",18,3,16.6666666666667,2,1,2,11.1111111111111
"87","Men","Europe","Netherlands","Basketball",10,2,20,2,2,2,20
"88","Men","Europe","Switzerland","Basketball",9,3,33.3333333333333,3,3,3,33.3333333333333
"89","Men","Europe","Poland","Basketball",16,5,31.25,5,3,3,18.75
"90","Men","Europe","Sweden","Basketball",11,2,18.1818181818182,2,2,2,18.1818181818182
"91","Men","Oceania","Australia","Basketball",10,5,50,4,4,5,50
"111","Men","Americas","United States","American Football",32,15,46.875,13,11,13,40.625
"112","Men","Americas","Canada","American Football",9,5,55.5555555555556,5,4,4,44.4444444444444
"113","Men","Americas","Brazil","American Football",39,13,33.3333333333333,10,6,7,17.9487179487179
"114","Men","Americas","Mexico","American Football",11,2,18.1818181818182,2,0,0,0
"152","Men","Africa","Egypt","Volleyball",24,1,4.16666666666667,1,1,1,4.16666666666667
"161","Men","Americas","United States","Volleyball",12,2,16.6666666666667,2,1,1,8.33333333333333
"163","Men","Americas","Brazil","Volleyball",12,1,8.33333333333333,1,1,1,8.33333333333333
"165","Men","Americas","Argentina","Volleyball",12,2,16.6666666666667,2,2,2,16.6666666666667
"168","Men","Americas","Peru","Volleyball",8,1,12.5,1,1,1,12.5
"169","Men","Americas","Puerto Rico","Volleyball",7,0,0,0,0,0,0
"171","Men","Asia","China","Volleyball",14,2,14.2857142857143,2,2,2,14.2857142857143
"172","Men","Asia","Japan","Volleyball",10,6,60,6,6,6,60
"173","Men","Asia","India","Volleyball",8,3,37.5,3,3,3,37.5
"174","Men","Asia","Iran, Islamic Republic of","Volleyball",14,0,0,0,0,0,0
"175","Men","Asia","Korea, Republic of","Volleyball",7,0,0,0,0,0,0
"176","Men","Asia","Indonesia","Volleyball",8,3,37.5,2,2,3,37.5
"177","Men","Asia","Saudi Arabia","Volleyball",12,0,0,0,0,0,0
"178","Men","Asia","Turkey","Volleyball",14,0,0,0,0,0,0
"179","Men","Asia","Thailand","Volleyball",8,5,62.5,5,4,4,50
"181","Men","Europe","Germany","Volleyball",9,3,33.3333333333333,3,3,3,33.3333333333333
