Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Men;Africa;Nigeria;Football;20;5
Men;Africa;Egypt;Football;18;4
Men;Africa;South Africa;Football;16;3
Men;Africa;Algeria;Football;16;7
Men;Africa;Morocco;Football;16;5
Men;Africa;Angola;Football;16;1
Men;Africa;Kenya;Football;18;9
Men;Africa;Ethiopia;Football;16;3
Men;Africa;Tanzania, United Republic of;Football;16;3
Men;Africa;Ghana;Football;18;7
Men;Americas;United States;Football;29;9
Men;Americas;Canada;Football;NA;NA
Men;Americas;Brazil;Football;20;9
Men;Americas;Mexico;Football;18;11
Men;Americas;Argentina;Football;28;8
Men;Americas;Colombia;Football;20;6
Men;Americas;Chile;Football;16;4
Men;Americas;Peru;Football;19;7
Men;Americas;Puerto Rico;Football;14;1
Men;Americas;Ecuador;Football;16;5
Men;Asia;China;Football;18;9
Men;Asia;Japan;Football;18;8
Men;Asia;India;Football;12;2
Men;Asia;Iran, Islamic Republic of;Football;16;10
Men;Asia;Korea, Republic of;Football;12;3
Men;Asia;Indonesia;Football;18;11
Men;Asia;Saudi Arabia;Football;16;4
Men;Asia;Turkey;Football;19;9
Men;Asia;Thailand;Football;16;10
Men;Asia;Israel;Football;14;6
Men;Europe;Germany;Football;18;7
Men;Europe;United Kingdom;Football;20;13
Men;Europe;France;Football;20;7
Men;Europe;Russian Federation;Football;16;7
Men;Europe;Italy;Football;20;11
Men;Europe;Spain;Football;20;5
Men;Europe;Netherlands;Football;18;6
Men;Europe;Switzerland;Football;10;3
Men;Europe;Poland;Football;18;7
Men;Europe;Sweden;Football;16;3
Men;Oceania;Australia;Football;12;3
Men;Oceania;New Zealand;Football;10;2
Men;Oceania;Papua New Guinea;Football;NA;NA
Men;Oceania;New Caledonia;Football;NA;NA
Men;Oceania;Guam;Football;NA;NA
Men;Oceania;French Polynesia;Football;12;0
Men;Oceania;Fiji;Football;10;4
Men;Oceania;Solomon Island;Football;NA;NA
Men;Oceania;Northern Mariana Islands;Football;NA;NA
Men;Oceania;Vanuatu;Football;NA;NA
Men;Africa;Nigeria;Basketball;16;2
Men;Africa;Egypt;Basketball;16;1
Men;Africa;South Africa;Basketball;11;5
Men;Africa;Algeria;Basketball;NA;NA
Men;Africa;Morocco;Basketball;16;2
Men;Africa;Angola;Basketball;NA;NA
Men;Africa;Kenya;Basketball;NA;NA
Men;Africa;Ethiopia;Basketball;NA;NA
Men;Africa;Tanzania, United Republic of;Basketball;NA;NA
Men;Africa;Ghana;Basketball;NA;NA
Men;Americas;United States;Basketball;30;8
Men;Americas;Canada;Basketball;10;9
Men;Americas;Brazil;Basketball;17;4
Men;Americas;Mexico;Basketball;12;4
Men;Americas;Argentina;Basketball;20;2
Men;Americas;Colombia;Basketball;7;3
Men;Americas;Chile;Basketball;12;2
Men;Americas;Peru;Basketball;NA;NA
Men;Americas;Puerto Rico;Basketball;12;2
Men;Americas;Ecuador;Basketball;8;1
Men;Asia;China;Basketball;20;14
Men;Asia;Japan;Basketball;24;4
Men;Asia;India;Basketball;NA;NA
Men;Asia;Iran, Islamic Republic of;Basketball;16;2
Men;Asia;Korea, Republic of;Basketball;10;2
Men;Asia;Indonesia;Basketball;16;2
Men;Asia;Saudi Arabia;Basketball;12;0
Men;Asia;Turkey;Basketball;16;5
Men;Asia;Thailand;Basketball;10;3
Men;Asia;Israel;Basketball;12;2
Men;Europe;Germany;Basketball;18;4
Men;Europe;United Kingdom;Basketball;10;4
Men;Europe;France;Basketball;18;4
Men;Europe;Russian Federation;Basketball;12;1
Men;Europe;Italy;Basketball;16;7
Men;Europe;Spain;Basketball;18;3
Men;Europe;Netherlands;Basketball;10;2
Men;Europe;Switzerland;Basketball;9;3
