"","ID","Gender","Sport","Continent","Country","Club","Classification_Specific","Classification_General","Classification_Class","Classification_Order","Classification_Family","Classification_Genus","Classification_Species","N_Species_In_Country","EX","EW","CR","EN","VU","NT","LC","DD","NE","Decreasing","Increasing","Stable","Unknown"
"1","ID_1","Men","Football","Asia","Turkey","Çaykur Rizespor","Accipiter melanoleucus","Species","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter melanoleucus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"102","ID_102","Men","Football","Asia","Iran, Islamic Republic of","Shahr Khodrou FC","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"103","ID_103","Women","Volleyball","Europe","Netherlands","Djopzz VC Zwolle Topvolleybal","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"104","ID_104","Men","Rugby XV","Africa","South Africa","Free State Cheetahs","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"114","ID_114","Men","Volleyball","Asia","Japan","Suntory Sunbirds","Aethopyga siparaja","Species","Aves","Passeriformes","Nectariniidae","Aethopyga","Aethopyga siparaja",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"115","ID_115","Women","Volleyball","Americas","Puerto Rico","Changas de Naranjito","Agelaius xanthomus","Species","Aves","Passeriformes","Icteridae","Agelaius","Agelaius xanthomus",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"117","ID_117","Men","Basketball","Europe","Sweden","Jämtland Basket","Alces alces","Species","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"141","ID_141","Men","Baseball","Europe","Netherlands","RCH-Pinguins","Aptenodytes forsteri","Species","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"142","ID_142","Men","Ice Hockey","Americas","United States","Pittsburgh Penguins","Aptenodytes forsteri","Species","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"144","ID_144","Men","Football","Americas","Colombia","Águilas Doradas Rionegro","Aquila chrysaetos","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"145","ID_145","Men","Baseball","Asia","Japan","Tohoku Rakuten Golden Eagles","Aquila chrysaetos","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"146","ID_146","Men","Football","Asia","Turkey","Konyaspor","Aquila heliaca","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"147","ID_147","Men","Basketball","Asia","Turkey","Konyaspor","Aquila heliaca","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"149","ID_149","Men","Football","Americas","United States","Inter Miami CF","Ardea herodias","Species","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"158","ID_158","Men","Basketball","Asia","China","Sichuan Blue Whales","Balaenoptera musculus","Species","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus",0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"160","ID_160","Men","Baseball","Asia","Japan","Orix Buffaloes","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"161","ID_161","Men","American Football","Americas","United States","Buffalo Bills","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"162","ID_162","Men","Ice Hockey","Americas","United States","Buffalo Sabres","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"163","ID_163","Women","Ice Hockey","Americas","United States","Buffalo Beauts","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"164","ID_164","Men","Rugby XIII","Europe","France","Sporting Olympique Avignonnais XIII","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"165","ID_165","Women","Volleyball","Europe","Italy","Azzurra Volley Firenze","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"166","ID_166","Men","Football","Europe","Russian Federation","FC Krasnodar","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"167","ID_167","Men","Rugby XV","Europe","Spain","Independiente RC","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
